rawcode,shop,name_ru,name_en,category,element,rank,goldcost,STR,AGI,INT,AllStat,DMG,DEF,MS,AS,MaxHP,MaxMP,HP_regen,MP_regen,Lifesteal,Crit,Evasion,active_CD,active_mana,abilities_resolved,description_ru,description_en,crafted_from,crafts_into
I00E,Base Items (n004),Улучшить предмет,Upgrade Item,,,,750,,,,,,,,,,,,,,,,,,,Улучшить предмет,Upgrade Item.,,"Hell Ring: Nightmare, Rank C (I110) , Hell Ring: Nightmare, Rank B (I111) , Hell Ring: Nightmare, Rank A (I112) , Sealed Hell Ring: Nightmare (I113) , Hell Ring: Nightmare (I101) , Hell Ring: Horn, Rank C (I115) , Hell Ring: Horn, Rank B (I116) , Hell Ring: Horn, Rank A (I117) , Sealed Hell Ring: Horn (I118) , Hell Ring: Horn (I100) , Sun Ring, Rank C (I009) , Sun Ring, Rank B (I00A) , Sun Ring, Rank A (I00B) , Vongola Sun Ring (I00C) , True Vongola Sun Ring (I00D) , Mist Ring, Rank C (I00G) , Mist Ring, Rank B (I00H) , Mist Ring, Rank A (I00I) , Vongola Mist Ring (I00J) , True Vongola Mist Ring (I00K) , Cloud Ring, Rank C (I00M) , Cloud Ring, Rank B (I00N) , Cloud Ring, Rank A (I00O) , Vongola Cloud Ring (I00P) , True Vongola Cloud Ring (I00Q) , Storm Ring, Rank C (I00S) , Storm Ring, Rank B (I00T) , Storm Ring, Rank A (I00U) , Vongola Storm Ring (I00V) , True Vongola Storm Ring (I00W) , Rain Ring, Rank C (I00Y) , Rain Ring, Rank B (I00Z) , Rain Ring, Rank A (I010) , Vongola Rain Ring (I011) , True Vongola Rain Ring (I012) , Lightning Ring, Rank C (I014) , Lightning Ring, Rank B (I015) , Lightning Ring, Rank A (I016) , Vongola Lightning Ring (I017) , True Vongola Lightning Ring (I018) , Sky Ring, Rank C (I01A) , Sky Ring, Rank B (I01B) , Sky Ring, Rank A (I01C) , Vongola Sky Ring (I01D) , True Vongola Sky Ring (I01E) , Sword, Rank C (I01J) , Sword, Rank B (I01I) , Sword, Rank A (I01K) , Tempered Sword [Weapon] (I01L) , Staff of Darkness, Rank C (I01X) , Staff of Darkness, Rank B (I01Y) , Staff of Darkness, Rank A (I01Z) , Sealed Staff of Darkness (I06C) , True Staff of Darkness [Weapon] (I020) , Hell Ring: Soul Eater, Rank C (I02F) , Hell Ring: Soul Eater, Rank B (I02G) , Hell Ring: Soul Eater, Rank A (I02H) , Sealed Hell Ring: Soul Eater (I02I) , Hell Ring: Soul Eater [Weapon] (I02J) , Hell Ring: Demon Eye, Rank C (I02M) , Hell Ring: Demon Eye, Rank B (I02N) , Hell Ring: Demon Eye, Rank A (I02O) , Sealed Hell Ring: Demon Eye (I02P) , Hell Ring: Demon Eye (I02Q) , Vongola Gloves Lv.1 (I03G) , Vongola Gloves Lv.2 (I03H) , Vongola Gloves Lv.3 (I03I) , Vongola Gloves Lv.4 (I03J) , Vongola Gloves Lv.5 (I03K) , Vongola X Gloves (I03L) , Hell Ring: 666, Rank C (I04A) , Hell Ring: 666, Rank B (I04B) , Hell Ring: 666, Rank A (I04C) , Sealed Hell Ring: 666 (I04D) , Hell Ring: 666 [Weapon] (I04E) , Guard Droid Mk.II (I04I) , Mare Sky Ring, Rank C (I04N) , Mare Sky Ring, Rank B (I04O) , Mare Sky Ring, Rank A (I04P) , Fake Mare Sky Ring (I04Q) , True Mare Sky Ring (I04R) , Mare Lightning Ring, Rank C (I057) , Mare Lightning Ring, Rank B (I058) , Mare Lightning Ring, Rank A (I059) , Fake Mare Lightning Ring (I05A) , True Mare Lightning Ring (I05B) , Mare Sun Ring, Rank C (I05D) , Mare Sun Ring, Rank B (I05E) , Mare Sun Ring, Rank A (I05F) , Fake Mare Sun Ring (I05G) , True Mare Sun Ring (I05H) , Mare Storm Ring, Rank C (I05J) , Mare Storm Ring, Rank B (I05K) , Mare Storm Ring, Rank A (I05L) , Fake Mare Storm Ring (I05M) , True Mare Storm Ring (I05N) , Mare Rain Ring, Rank C (I05P) , Mare Rain Ring, Rank B (I05Q) , Mare Rain Ring, Rank A (I05R) , Fake Mare Rain Ring (I05S) , True Mare Rain Ring (I05T) , Mare Mist Ring, Rank C (I05V) , Mare Mist Ring, Rank B (I05W) , Mare Mist Ring, Rank A (I05X) , Fake Mare Mist Ring (I05Y) , True Mare Mist Ring (I05Z) , Mare Cloud Ring, Rank C (I061) , Mare Cloud Ring, Rank B (I062) , Mare Cloud Ring, Rank A (I063) , Fake Mare Cloud Ring (I064) , True Mare Cloud Ring (I065)"
I109,Half Vongola Rings (n003),"Кольцо Ада: ""Ночной кошмар"", Ранг D","Hell Ring: Nightmare, Rank D",Hell Ring: Nightmare,,D,1450,,,,9,,,,,,,,,,,,,,+9 AllStat (A0YH),Повышение AllStat на 9 ед.,Increases AllStat by 9.,,"Hell Ring: Nightmare, Rank C (I110)"
I110,,"Кольцо Ада: ""Ночной кошмар"", Ранг C","Hell Ring: Nightmare, Rank C",Hell Ring: Nightmare,,C,1750,,,,13,,,,,,,,,,,,,,+13 AllStat (A14N),Повышение AllStat на 13 ед.,Increases AllStat by 13.,"Hell Ring: Nightmare, Rank D (I109) + Upgrade Item (I00E)","Hell Ring: Nightmare, Rank B (I111)"
I111,,"Кольцо Ада: ""Ночной кошмар"", Ранг B","Hell Ring: Nightmare, Rank B",Hell Ring: Nightmare,,B,2500,,,,16,,,,,,,,,,,,,,+16 AllStat (A0W1),Повышение AllStat на 16 ед.,Increases AllStat by 16.,"Hell Ring: Nightmare, Rank C (I110) + Upgrade Item (I00E)","Hell Ring: Nightmare, Rank A (I112)"
I112,,"Кольцо Ада: ""Ночной кошмар"", Ранг A","Hell Ring: Nightmare, Rank A",Hell Ring: Nightmare,,A,3250,,,,19,,,,,,,,,,,,,,+19 AllStat (A05X),Повышение AllStat на 19 ед.,Increases AllStat by 19.,"Hell Ring: Nightmare, Rank B (I111) + Upgrade Item (I00E)",Sealed Hell Ring: Nightmare (I113)
I113,,"Запечатанное Кольцо Ада: ""Ночной кошмар""",Sealed Hell Ring: Nightmare,Hell Ring: Nightmare,,S,4000,,,,22,,,,,,,,,,,,,,+22 AllStat (A14O),Повышение AllStat на 22 ед.,Increases AllStat by 22.,"Hell Ring: Nightmare, Rank A (I112) + Upgrade Item (I00E)",Hell Ring: Nightmare (I101)
I101,Hight-level Vongola Rings and Done items (n00C),"Кольцо Ада: ""Ночной кошмар""",Hell Ring: Nightmare,Hell Ring: Nightmare,,Full,5200,,,,30,,,,,,,15,50,,,,35,300,Active: AoE Stun CD=35s mana=300 (AI04); +15 HP/s regen (A03U); +50% MP regen (A04N); +30 AllStat (A06P),"Повышение AllStat на 30, HP Regen на 15 ед., MP Regen на 50%. | Passive: Отображение на карте смещенно в случайном направлении на 2000. |  | Active: при нажатии все союзники в радиусе 900 получают невидимость на 4 сек, получая на 20% меньше урона, | а в их местоположении создаются иллюзии которые получают 100% урона и живут 6 сек. |  | CD: 35 сек.","Increases AllStat by 30, HP Regen by 15, MP Regen by 50%. | Passive: Map position is displaced randomly by 2000. | Active: all allies in radius 900 become invisible for 4 sec, taking 20% less damage, and illusions are created at their positions (take 100% damage, live 6 sec). | CD: 35 sec.",Sealed Hell Ring: Nightmare (I113) + Upgrade Item (I00E),
I049,Half Vongola Rings (n003),"Кольцо Ада: ""666"", Ранг D","Hell Ring: 666, Rank D",Hell Ring: 666,,D,1500,,,,3,20,,,,,,,,,,,,,+20 DMG (A05R); Aura: -4 DEF to enemies (radius 500) (A0Y8); +3 AllStat (A0YG),"Увеличивает наносимый урон на 20 ед., снижает DEF врагов в радиусе 500 на 3, AllStat на 3.","Increases AD by 20, reduces enemy DEF in radius 500 by 3, AllStat by 3.",,"Hell Ring: 666, Rank C (I04A)"
I04A,,"Кольцо Ада: ""666"", Ранг С","Hell Ring: 666, Rank C",Hell Ring: 666,,C,1750,,,,6,30,,,,,,,,,,,,,+30 DMG (A0YE); Aura: -8 DEF to enemies (radius 500) (A0Y9); +6 AllStat (A0VK),"Увеличивает наносимый урон на 30 ед., снижает DEF врагов в радиусе 500 на 6, AllStat на 6.","Increases AD by 30, reduces enemy DEF in radius 500 by 6, AllStat by 6.","Hell Ring: 666, Rank D (I049) + Upgrade Item (I00E)","Hell Ring: 666, Rank B (I04B)"
I04B,,"Кольцо Ада: ""666"", Ранг B","Hell Ring: 666, Rank B",Hell Ring: 666,,B,2500,,,,9,40,,,,,,,,,,,,,+40 DMG (A25Y); Aura: -12 DEF to enemies (radius 500) (A0YA); +9 AllStat (A0YH),"Увеличивает наносимый урон на 40 ед., снижает DEF врагов в радиусе 500 на 9, AllStat на 9.","Increases AD by 40, reduces enemy DEF in radius 500 by 9, AllStat by 9.","Hell Ring: 666, Rank C (I04A) + Upgrade Item (I00E)","Hell Ring: 666, Rank A (I04C)"
I04C,,"Кольцо Ада: ""666"", Ранг A","Hell Ring: 666, Rank A",Hell Ring: 666,,A,3250,,,,12,50,,,,,,,,,,,,,+50 DMG (A05Y); Aura: -16 DEF to enemies (radius 500) (A0YB); +12 AllStat (A0VL),"Увеличивает наносимый урон на 50 ед., снижает DEF врагов в радиусе 500 на 12, AllStat на 12.","Increases AD by 50, reduces enemy DEF in radius 500 by 12, AllStat by 12.","Hell Ring: 666, Rank B (I04B) + Upgrade Item (I00E)",Sealed Hell Ring: 666 (I04D)
I04D,,"Запечатанное Кольцо Ада: ""666""",Sealed Hell Ring: 666,Hell Ring: 666,,S,4000,,,,15,60,,,,,,,,,,,,,+60 DMG (A0YF); Aura: -20 DEF to enemies (radius 500) (A0YC); +15 AllStat (A05V),"Увеличивает наносимый урон на 60 ед., снижает DEF врагов в радиусе 500 на 15, AllStat на 15.","Increases AD by 60, reduces enemy DEF in radius 500 by 15, AllStat by 15.","Hell Ring: 666, Rank A (I04C) + Upgrade Item (I00E)",Hell Ring: 666 [Weapon] (I04E)
I04E,Hight-level Vongola Rings and Done items (n00C),"Кольцо Ада: ""666"" |r|c00FF5555Weapon|r",Hell Ring: 666 [Weapon],Hell Ring: 666,,Full,5250,,,,30,60,,,,,,,,,,,20,150,Active CD=20s mana=150 (AI14); +60 DMG (A0YF); Aura: -20 DEF to enemies (radius 500) (A0YD); +30 AllStat (A06P),"Увеличивает наносимый урон на 60 ед., AllStat на 30, снижает DEF врагов в радиусе 1100 на 20. |  | Сильный удар: 50%, оглушить на 0.06 сек. и не промахиваться 0.45 сек. | Passive: Физический урон: +15% при активации еще + 15%(также работает на самехаду и гегецу) | Активно: владелец получает True Strike на 6 сек | Перезарядка: 20 сек","Increases AD by 60, AllStat by 30, reduces enemy DEF in radius 1100 by 20. | Strong hit: 50%, stun for 0.06 sec and true strike for 0.45 sec. | Passive: Physical damage +15%, on activation another +15% (also works with Samehada and Gegetsuburi). | Active: owner gets True Strike for 6 sec. | Cooldown: 20 sec.",Sealed Hell Ring: 666 (I04D) + Upgrade Item (I00E),
I05F,,"Кольцо Солнца Маре, Ранг A","Mare Sun Ring, Rank A",Mare Ring,Sun,A,3250,25,,,,,,,,,,,,,,,,,+25 STR (A03W),"Повышение STR на 25 ед., HP regen: 13% от INT.","Increases STR by 25, HP regen: 13% of INT.","Mare Sun Ring, Rank B (I05E) + Upgrade Item (I00E)",Fake Mare Sun Ring (I05G)
I05G,,Фальшивое Кольцо Солнца Маре,Fake Mare Sun Ring,Mare Ring,Sun,S,4000,30,,,,,,,,,,,,,,,,,+30 STR (A03X),"Повышение STR на 30 ед., HP regen: 14% от INT.","Increases STR by 30, HP regen: 14% of INT.","Mare Sun Ring, Rank A (I05F) + Upgrade Item (I00E)",True Mare Sun Ring (I05H)
I05H,Hight-level Mare Rings (n00R),Истинное Кольцо Солнца Маре,True Mare Sun Ring,Mare Ring,Sun,Full,4750,35,,35,,,,,,,,,,,,,25,100,"Active CD=25s mana=100 (A189); +35 STR, +35 INT (A18A)","Повышение STR на 35  ед и 35 INT, HP regen: 15% от INT, пассивно: восстановление HP от 10% получаемого урона (мин. 100 ед урона) в течении 5 сек. |  | Активно: утраивает эффективность кольца на 10 сек. | Перезарядка: 25 сек.","Increases STR by 35 and INT by 35, HP regen: 15% of INT. Passive: restores HP from 10% of received damage (min 100 damage) over 5 sec. | Active: triples ring effectiveness for 10 sec. | Cooldown: 25 sec.",Fake Mare Sun Ring (I05G) + Upgrade Item (I00E),
I05I,Mare Rings (n00S),"Кольцо Шторма Маре, Ранг D","Mare Storm Ring, Rank D",Mare Ring,Storm,D,1000,,15,15,,,,,,,,,,,,,,,+15 AGI (A04C); +15 INT (A043),"Повышениe INT, AGI на 15 ед.",Increases INT and AGI by 15.,,"Mare Storm Ring, Rank C (I05J)"
I05J,,"Кольцо Шторма Маре, Ранг C","Mare Storm Ring, Rank C",Mare Ring,Storm,C,1750,,20,20,,,,,,,,,,,,,,,+20 AGI (A04D); +20 INT (A044),"Повышениe INT, AGI на 20 ед.",Increases INT and AGI by 20.,"Mare Storm Ring, Rank D (I05I) + Upgrade Item (I00E)","Mare Storm Ring, Rank B (I05K)"
I05K,,"Кольцо Шторма Маре, Ранг B","Mare Storm Ring, Rank B",Mare Ring,Storm,B,2500,,25,25,,,,,,,,,,,,,,,+25 AGI (A04E); +25 INT (A045),"Повышениe INT, AGI на 25 ед.",Increases INT and AGI by 25.,"Mare Storm Ring, Rank C (I05J) + Upgrade Item (I00E)","Mare Storm Ring, Rank A (I05L)"
I05L,,"Кольцо Шторма Маре, Ранг A","Mare Storm Ring, Rank A",Mare Ring,Storm,A,3250,,30,30,,,,,,,,,,,,,,,+30 AGI (A04F); +30 INT (A046),"Повышениe INT, AGI на 30 ед.",Increases INT and AGI by 30.,"Mare Storm Ring, Rank B (I05K) + Upgrade Item (I00E)",Fake Mare Storm Ring (I05M)
I05M,,Фальшивое Кольцо Шторма Маре,Fake Mare Storm Ring,Mare Ring,Storm,S,4000,,35,35,,,,,,,,,,,,,,,+35 AGI (A18E); +35 INT (A98E),"Повышениe INT, AGI на 35 ед.",Increases INT and AGI by 35.,"Mare Storm Ring, Rank A (I05L) + Upgrade Item (I00E)",True Mare Storm Ring (I05N)
I05N,Hight-level Mare Rings (n00R),Истинное Кольцо Шторма Маре,True Mare Storm Ring,Mare Ring,Storm,Full,4750,,40,40,,,,,,500,,,,,,,20,100,"Active CD=20s mana=100 (A18F); +500 Max HP (A0S9); +40 AGI, +40 INT (A28D); Mark/Burn (AI25)","Повышениe INT, AGI на 40 ед., HP на 500 ед., применение способности с перезарядкой больше 4 сек увеличивает наносимый и получаемый магический урон на 3/6% (дальность до 3000) на 10 сек (не продлевается) за стак |  | Активно: Наносит всем противникам в радиусе 400 ед. 30% от их Max HP(не работает усиление от пассивной части) и отталкивает на расстояние 400 ед. | CD: 20 сек.","Increases INT and AGI by 40, HP by 500. Using an ability with CD over 4 sec increases dealt and received magic damage by 3/6% (range up to 3000) for 10 sec (does not refresh) per stack. | Active: Deals 30% of enemies' Max HP in radius 400 (passive bonus does not apply) and pushes back 400 distance. | CD: 20 sec.",Fake Mare Storm Ring (I05M) + Upgrade Item (I00E),
I05O,Mare Rings (n00S),"Кольцо Дождя Маре, Ранг D","Mare Rain Ring, Rank D",Mare Ring,Mist,D,1000,10,10,,,,,,,,,,,,,,,,+10 STR (A03P); +10 AGI (A04B),"Повышение STR, AGI на 10 ед., Замедляет AS атакующего вас врага на 30%.",Increases STR and AGI by 10. Slows AS of attacking enemy by 30%.,,"Mare Rain Ring, Rank C (I05P)"
I05P,,"Кольцо Дождя Маре, Ранг C","Mare Rain Ring, Rank C",Mare Ring,Mist,C,1750,15,15,,,,,,,,,,,,,,,,+15 STR (A03R); +15 AGI (A04C),"Повышение STR, AGI на 15 ед., Замедляет AS атакующего вас врага на 60%.",Increases STR and AGI by 15. Slows AS of attacking enemy by 60%.,"Mare Rain Ring, Rank D (I05O) + Upgrade Item (I00E)","Mare Rain Ring, Rank B (I05Q)"
I05Q,,"Кольцо Дождя Маре, Ранг B","Mare Rain Ring, Rank B",Mare Ring,Mist,B,2500,20,20,,,,,,,,,,,,,,,,+20 STR (A03T); +20 AGI (A04D),"Повышение STR, AGI на 20 ед., Замедляет AS атакующего вас врага на 90%.",Increases STR and AGI by 20. Slows AS of attacking enemy by 90%.,"Mare Rain Ring, Rank C (I05P) + Upgrade Item (I00E)","Mare Rain Ring, Rank A (I05R)"
I05R,,"Кольцо Дождя Маре, Ранг A","Mare Rain Ring, Rank A",Mare Ring,Mist,A,3250,25,25,,,,,,,,,,,,,,,,+25 STR (A03W); +25 AGI (A04E),"Повышение STR, AGI на 25 ед., Замедляет AS атакующего вас врага на 120%.",Increases STR and AGI by 25. Slows AS of attacking enemy by 120%.,"Mare Rain Ring, Rank B (I05Q) + Upgrade Item (I00E)",Fake Mare Rain Ring (I05S)
I05S,,Фальшивое Кольцо Дождя Маре,Fake Mare Rain Ring,Mare Ring,Mist,S,4000,30,30,,,,,,,,,,,,,,,,+30 STR (A03X); +30 AGI (A04F),"Повышение STR, AGI на 30 ед., Замедляет AS атакующего вас врага на 150%.",Increases STR and AGI by 30. Slows AS of attacking enemy by 150%.,"Mare Rain Ring, Rank A (I05R) + Upgrade Item (I00E)",True Mare Rain Ring (I05T)
I05T,Hight-level Mare Rings (n00R),Истинное Кольцо Дождя Маре,True Mare Rain Ring,Mare Ring,Mist,Full,4750,35,35,,,,,,,,,,,,,,30,100,"Active CD=30s mana=100 (A18G); +35 STR, +35 AGI (A18Z)","Повышение STR, AGI на 35 ед., Замедляет AS атакующего вас врага на 230%. |  | Активно: Увеличивает вашу STR и AGI на 20% на 15 сек. | CD: 30 сек.",Increases STR and AGI by 35. Slows AS of attacking enemy by 230%. | Active: Increases your STR and AGI by 20% for 15 sec. | CD: 30 sec.,Fake Mare Rain Ring (I05S) + Upgrade Item (I00E),
I05U,Mare Rings (n00S),"Кольцо Тумана Маре, Ранг D","Mare Mist Ring, Rank D",Mare Ring,Rain,D,1000,5,,10,,,,,,,,,,,,,,,+10 INT (A042); +5 STR (A041),Повышение INT на 10 ед. и STR на 5 ед.,Increases INT by 10 and STR by 5.,,"Mare Mist Ring, Rank C (I05V)"
I05V,,"Кольцо Тумана Маре, Ранг С","Mare Mist Ring, Rank C",Mare Ring,Rain,C,1750,10,,15,,,,,,,,,,,,,,,+15 INT (A043); +10 STR (A03P),Повышение INT на 15 ед. и STR на 10 ед.,Increases INT by 15 and STR by 10.,"Mare Mist Ring, Rank D (I05U) + Upgrade Item (I00E)","Mare Mist Ring, Rank B (I05W)"
I05W,,"Кольцо Тумана Маре, Ранг B","Mare Mist Ring, Rank B",Mare Ring,Rain,B,2500,15,,20,,,,,,,,,,,,,,,+20 INT (A044); +15 STR (A03R),Повышение INT на 20 ед. и STR на 15 ед.,Increases INT by 20 and STR by 15.,"Mare Mist Ring, Rank C (I05V) + Upgrade Item (I00E)","Mare Mist Ring, Rank A (I05X)"
I05X,,"Кольцо Тумана Маре, Ранг A","Mare Mist Ring, Rank A",Mare Ring,Rain,A,3250,20,,25,,,,,,,,,,,,,,,+25 INT (A045); +20 STR (A03T),Повышение INT на 25 ед. и STR на 20 ед.,Increases INT by 25 and STR by 20.,"Mare Mist Ring, Rank B (I05W) + Upgrade Item (I00E)",Fake Mare Mist Ring (I05Y)
I05Y,,Фальшивое Кольцо Тумана Маре,Fake Mare Mist Ring,Mare Ring,Rain,S,4000,25,,30,,,,,,,,,,,,,,,+30 INT (A046); +25 STR (A03W),Повышение INT на 30 ед. и STR на 25 ед.,Increases INT by 30 and STR by 25.,"Mare Mist Ring, Rank A (I05X) + Upgrade Item (I00E)",True Mare Mist Ring (I05Z)
I05Z,Hight-level Mare Rings (n00R),Истинное Кольцо Тумана Маре,True Mare Mist Ring,Mare Ring,Rain,Full,4750,40,,40,,,10,,,,,,,,,,40,250,Active CD=40s mana=250 (A18K); +40 INT (A047); +40 STR (A0XW); +10 DEF (A05H),"Повышение INT на 40 ед. и STR на 40 ед., DEF на 10 ед. |  | [Shadow Cover] - если герой не двигается и не получает урон в течении 4 секунд - он становится становится невидимым, пока соблюдает условия. |  | Активно: в течении 6 сек., герой может переродиться с 25% ед. HP и MP(снимает эффекты Юкирин,Эссенции). Время перерождения 5 сек. | Нельзя покупать с Комплектом Анбу! |  | Перезарядка: 40 сек.","Increases INT by 40 and STR by 40, DEF by 10. | [Shadow Cover] - if the hero does not move and does not take damage for 4 sec, they become invisible while conditions are met. | Active: for 6 sec the hero can revive with 25% HP and MP (removes Yukirin/Essence effects). Revive time 5 sec. | Cannot buy with ANBU Set! | Cooldown: 40 sec.",Fake Mare Mist Ring (I05Y) + Upgrade Item (I00E),
I060,Mare Rings (n00S),"Кольцо Облака Маре, Ранг D","Mare Cloud Ring, Rank D",Mare Ring,Cloud,D,1000,,15,,,,,,,,,,,,,,,,"+15 AGI (A04C); Shockwave: 100 DMG, range=30 (A18M)","Повышение AGI на 15 ед., отклонение 30 физ. урона (60 для мечей мечей Гильгамеша)","Increases AGI by 15, deflects 30 physical damage (60 for Gilgamesh swords).",,"Mare Cloud Ring, Rank C (I061)"
I061,,"Кольцо Облака Маре, Ранг С","Mare Cloud Ring, Rank C",Mare Ring,Cloud,C,1750,,20,,,,,,,,,,,,,,,,"+20 AGI (A04D); Shockwave: 100 DMG, range=50 (A18N)","Повышение AGI на 20 ед., отклонение 50 физ. урона (100 для мечей Гильгамеша)","Increases AGI by 20, deflects 50 physical damage (100 for Gilgamesh swords).","Mare Cloud Ring, Rank D (I060) + Upgrade Item (I00E)","Mare Cloud Ring, Rank B (I062)"
I062,,"Кольцо Облака Маре, Ранг B","Mare Cloud Ring, Rank B",Mare Ring,Cloud,B,2500,,25,,,,,,,,,,,,,,,,"+25 AGI (A04E); Shockwave: 100 DMG, range=70 (A18O)","Повышение AGI на 25 ед., отклонение 70 физ. урона (140 для мечей Гильгамеша)","Increases AGI by 25, deflects 70 physical damage (140 for Gilgamesh swords).","Mare Cloud Ring, Rank C (I061) + Upgrade Item (I00E)","Mare Cloud Ring, Rank A (I063)"
I063,,"Кольцо Облака Маре, Ранг A","Mare Cloud Ring, Rank A",Mare Ring,Cloud,A,3250,,30,,,,,,,,,,,,,,,,"+30 AGI (A04F); Shockwave: 100 DMG, range=90 (A18P)","Повышение AGI на 30 ед., отклонение 90 физ. урона (180 для мечей Гильгамеша)","Increases AGI by 30, deflects 90 physical damage (180 for Gilgamesh swords).","Mare Cloud Ring, Rank B (I062) + Upgrade Item (I00E)",Fake Mare Cloud Ring (I064)
I064,,Фальшивое Кольцо Облака Маре,Fake Mare Cloud Ring,Mare Ring,Cloud,S,4000,,35,,,,,,,,,,,,,,,,"+35 AGI (A18E); Shockwave: 100 DMG, range=110 (A18Q)","Повышение AGI на 35 ед., откланение 110 физ. урона (220 для мечей Гильгамеша)","Increases AGI by 35, deflects 110 physical damage (220 for Gilgamesh swords).","Mare Cloud Ring, Rank A (I063) + Upgrade Item (I00E)",True Mare Cloud Ring (I065)
I065,Hight-level Mare Rings (n00R),Истинное Кольцо Облака Маре,True Mare Cloud Ring,Mare Ring,Cloud,Full,4750,,40,,,,,,,,,,,,,,,,"Roar Aura: +25 DMG (A04H); +40 AGI (A04G); Shockwave: 100 DMG, range=130 (A18R)","Повышение AGI на 40 ед., отклонение 130 физ. урона (260 для мечей Гильгамеша), за каждые потерянные 5% Max HP во время урона, герой получает 5 ед. STR на 10 сек. |  | Независимость: Враги в радиусе 700 теряют возможность блокирования на 5 секунд от всех с возможностью очистить, 25 ед. DEF союзникам, на 5 сек. в радиусе 900 ед,а сам владелец на 3 сек пробивает задетых,можно снять только сапфиром и подобным, дополнительный урон +10% по врагам с щитами. Не действует против магической защиты и промахов. | CD: 30 сек.","Increases AGI by 40, deflects 130 physical damage (260 for Gilgamesh swords). For every 5% Max HP lost during damage, hero gains 5 STR for 10 sec. | Independence: Enemies in radius 700 lose blocking ability for 5 sec (cleansable), +25 DEF to allies for 5 sec in radius 900, owner pierces affected targets for 3 sec (only removable by Sapphire and similar), +10% bonus damage against shielded enemies. Does not affect magic defense and misses. | CD: 30 sec.",Fake Mare Cloud Ring (I064) + Upgrade Item (I00E),
I04H,Base Items (n004),Дроид-охранник,Guard Droid,,,,800,,,,9,,,,,,,5,25,,,,,,Aeye (A0Z4); +9 AllStat (A25S); +5 HP/s regen (A03Q); +25% MP regen (A04M),"Увеличивает AllStat на 9, регенерацию маны на 25% и HP на 5 ед. Активная способность:""Дроид-охранник"" - устанавливает в указанную область вард, на 60 сек. |  | Перезарядка: 25 сек.","Increases AllStat by 9, MP regen by 25% and HP regen by 5. Active ability: ""Guard Droid"" - places a ward in targeted area for 60 sec. | Cooldown: 25 sec.",,"Guard Droid Mk.II (I04I) , Guard Droid Mk.II (I04I)"
I04I,Ultimate Items 3 (n00I),Дроид-охранник mk.II,Guard Droid Mk.II,,,,2350,,,,20,,,,,,,10,50,,,,,,Aeye (A0Z6); +20 AllStat (A0EO); +10 HP/s regen (A03S); +50% MP regen (A04N),"Увеличивает AllStat на 20, регенерацию маны на 50% и HP на 10 ед. Активная способность:""Дроид-охранник"" - устанавливает в указанную область вард, на 80 сек. |  | Перезарядка: 25 сек. | ...ванильное око...","Increases AllStat by 20, MP regen by 50% and HP regen by 10. Active ability: ""Guard Droid"" - places a ward in targeted area for 80 sec. | Cooldown: 25 sec.",Guard Droid (I04H) + Guard Droid (I04H) + Upgrade Item (I00E),Guard Droid Mk.III (I066)
I066,Ultimate Items 3 (n00I),Дроид-охранник mk.III,Guard Droid Mk.III,,,,3450,,,,25,,,,,500,,20,75,,,,,,Aeye (A19F); Spellbook: [+25 AllStat (A060); +20 HP/s regen (A03V); +75% MP regen (A04O); +500 Max HP (A0S9)] (A1OD),"Увеличивает AllStat на 25, регенерацию MP на 75% и регенерацию HP на 20 ед., +500 HP. Активная способность:""Дроид-охранник"" - устанавливает в указанную область вард, на 100 сек. |  | Перезарядка: 20 сек. | ...ванильное око...","Increases AllStat by 25, MP regen by 75% and HP regen by 20, +500 HP. Active ability: ""Guard Droid"" - places a ward in targeted area for 100 sec. | Cooldown: 20 sec.",Madao Hat (I033) + Guard Droid Mk.II (I04I),
I122,Recipes 4 (n108),Зеркало Ята (рецепт),Yata Mirror (Recipe),,,,250,,,,,,,,,,,,,,,,,,,"AllStat 35, MP reg. 100%, DEF нa 10, при пoлyчeнии yрoнa, влaдeлeц вoзврaщaeт 30% yрoнa. Урoн oт cпocoбнocтeй Кoмплeктa Онидзyки и Stigmata Tesseract yмeньшaeтcя нa 50% yрoнa вoзврaтoм. | Active: Увeличивaeт вoзврaщaeмый yрoн дo 60% в тeчeнии 5 ceк. CD: 20. | Нe рaбoтaeт ecли ecть Прoбивaниe(Cloud Vongola нa врaгe и Stigmata Tesseract,Cloud Mare нa влaдeльцe). |  | Требуется: Истинный Посох Тьмы (4250)+Рецепт(250).","AllStat 35, MP regen 100%, DEF +10. On receiving damage, the owner reflects 30% damage. Damage from Onizuka Set and Stigmata Tesseract abilities is reduced by 50% via reflection. | Active: Increases reflected damage to 60% for 5 sec. CD: 20. | Does not work if there is Piercing (Cloud Vongola on enemy and Stigmata Tesseract/Cloud Mare on owner). | Requires: True Staff of Darkness (4250) + Recipe (250).",,Yata Mirror (I04T)
